Stanford (Stanford),software2,74.0
HIT-SCIR (Harbin),software1-P,70.82
Uppsala (Uppsala),software1-P,69.76
ParisNLP (Paris),software1-P,69.45
TurkuNLP (Turku),software1-P,69.29
UDPipe Future (Praha),software1-P,69.26
ICS PAS (Warszawa),software1-P,68.9
CEA LIST (Paris),software1-P,68.53
SLT-Interactions (Bengaluru),software2-P,68.29
LATTICE (Paris),software1-P,67.73
UniMelb (Melbourne),software1-P,67.46
AntNLP (Shanghai),software1-P,67.2
LeisureX (Shanghai),software1-P,66.33
IBM NY (Yorktown Heights),software1-P,65.43
iParse (Pittsburgh),software1-P,65.27
NLP-Cube (București),software1-P,64.96
KParse (İstanbul),software1-P,64.03
Fudan (Shanghai),software5-P,62.75
BOUN (İstanbul),software2-P,62.43
BASELINE UDPipe 1.2 (Praha),software1-P,61.83
Phoenix (Shanghai),software1-P,61.56
ONLP lab (Ra'anana),software3-P,60.69
ArmParser (Yerevan),software1-P,55.1
CUNI x-ling (Praha),software1-P,54.95
HUJI (Yerushalayim),software1-P,0.0
SParse (İstanbul),software1-P,0.0
