ICS PAS (Warszawa),software1-P,89.61
HIT-SCIR (Harbin),software1-P,89.58
LATTICE (Paris),software1-P,89.22
CEA LIST (Paris),software1-P,88.61
Stanford (Stanford),software2,88.4
TurkuNLP (Turku),software1-P,88.02
AntNLP (Shanghai),software1-P,87.6
UDPipe Future (Praha),software1-P,87.45
Uppsala (Uppsala),software1-P,87.27
NLP-Cube (București),software1-P,86.89
ParisNLP (Paris),software1-P,86.41
SLT-Interactions (Bengaluru),software2-P,84.78
iParse (Pittsburgh),software1-P,83.58
LeisureX (Shanghai),software1-P,83.35
IBM NY (Yorktown Heights),software1-P,82.31
UniMelb (Melbourne),software1-P,81.81
Fudan (Shanghai),software5-P,79.99
KParse (İstanbul),software1-P,78.11
BASELINE UDPipe 1.2 (Praha),software1-P,77.93
HUJI (Yerushalayim),software1-P,77.64
BOUN (İstanbul),software2-P,77.38
Phoenix (Shanghai),software1-P,76.95
CUNI x-ling (Praha),software1-P,75.06
ONLP lab (Ra'anana),software3-P,68.01
ArmParser (Yerevan),software1-P,65.31
SParse (İstanbul),software1-P,0.0
