HIT-SCIR (Harbin),software1-P,90.53
TurkuNLP (Turku),software1-P,89.1
ICS PAS (Warszawa),software1-P,88.83
ParisNLP (Paris),software1-P,88.78
UDPipe Future (Praha),software1-P,88.76
Stanford (Stanford),software2,88.72
LATTICE (Paris),software1-P,88.45
NLP-Cube (București),software1-P,87.81
AntNLP (Shanghai),software1-P,87.66
LeisureX (Shanghai),software1-P,87.6
CEA LIST (Paris),software1-P,87.25
SLT-Interactions (Bengaluru),software2-P,86.53
Uppsala (Uppsala),software1-P,86.1
IBM NY (Yorktown Heights),software1-P,85.14
iParse (Pittsburgh),software1-P,84.15
UniMelb (Melbourne),software1-P,83.82
Fudan (Shanghai),software5-P,82.24
BASELINE UDPipe 1.2 (Praha),software1-P,81.48
Phoenix (Shanghai),software1-P,80.72
BOUN (İstanbul),software2-P,80.5
KParse (İstanbul),software1-P,78.35
HUJI (Yerushalayim),software1-P,78.26
CUNI x-ling (Praha),software1-P,75.52
ONLP lab (Ra'anana),software3-P,72.12
ArmParser (Yerevan),software1-P,66.75
SParse (İstanbul),software1-P,0.0
