HIT-SCIR (Harbin),software1-P,83.57
ICS PAS (Warszawa),software1-P,82.52
UDPipe Future (Praha),software1-P,82.09
TurkuNLP (Turku),software1-P,82.02
NLP-Cube (București),software1-P,81.96
CEA LIST (Paris),software1-P,81.84
AntNLP (Shanghai),software1-P,81.73
LATTICE (Paris),software1-P,81.2
Stanford (Stanford),software2,81.12
Uppsala (Uppsala),software1-P,80.98
SLT-Interactions (Bengaluru),software2-P,80.58
IBM NY (Yorktown Heights),software1-P,79.8
ParisNLP (Paris),software1-P,79.27
iParse (Pittsburgh),software1-P,77.46
UniMelb (Melbourne),software1-P,77.18
Phoenix (Shanghai),software1-P,76.75
BASELINE UDPipe 1.2 (Praha),software1-P,76.53
LeisureX (Shanghai),software1-P,75.11
KParse (İstanbul),software1-P,74.52
HUJI (Yerushalayim),software1-P,74.42
CUNI x-ling (Praha),software1-P,72.49
BOUN (İstanbul),software2-P,65.42
Fudan (Shanghai),software5-P,58.88
ONLP lab (Ra'anana),software3-P,35.74
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
