HIT-SCIR (Harbin),software1-P,83.83
Stanford (Stanford),software2,81.77
CEA LIST (Paris),software1-P,80.61
UDPipe Future (Praha),software1-P,80.42
ICS PAS (Warszawa),software1-P,80.18
TurkuNLP (Turku),software1-P,79.95
NLP-Cube (București),software1-P,79.9
SLT-Interactions (Bengaluru),software2-P,77.68
ParisNLP (Paris),software1-P,77.48
AntNLP (Shanghai),software1-P,77.06
Uppsala (Uppsala),software1-P,76.16
LATTICE (Paris),software1-P,76.11
iParse (Pittsburgh),software1-P,74.68
LeisureX (Shanghai),software1-P,74.41
IBM NY (Yorktown Heights),software1-P,73.88
UniMelb (Melbourne),software1-P,73.56
KParse (İstanbul),software1-P,72.27
Fudan (Shanghai),software5-P,71.63
BASELINE UDPipe 1.2 (Praha),software1-P,71.14
Phoenix (Shanghai),software1-P,71.13
HUJI (Yerushalayim),software1-P,68.29
BOUN (İstanbul),software2-P,68.28
CUNI x-ling (Praha),software1-P,67.95
ONLP lab (Ra'anana),software3-P,65.25
ArmParser (Yerevan),software1-P,58.49
SParse (İstanbul),software1-P,0.0
