HIT-SCIR (Harbin),software1-P,85.36
UDPipe Future (Praha),software1-P,82.83
CEA LIST (Paris),software1-P,82.79
ICS PAS (Warszawa),software1-P,82.67
TurkuNLP (Turku),software1-P,82.67
Stanford (Stanford),software2,82.55
NLP-Cube (București),software1-P,81.75
ParisNLP (Paris),software1-P,81.53
SLT-Interactions (Bengaluru),software2-P,81.45
LATTICE (Paris),software1-P,80.78
AntNLP (Shanghai),software1-P,80.07
Uppsala (Uppsala),software1-P,79.74
UniMelb (Melbourne),software1-P,79.28
LeisureX (Shanghai),software1-P,78.8
IBM NY (Yorktown Heights),software1-P,78.56
iParse (Pittsburgh),software1-P,78.41
KParse (İstanbul),software1-P,76.98
Phoenix (Shanghai),software1-P,75.27
BOUN (İstanbul),software2-P,75.11
BASELINE UDPipe 1.2 (Praha),software1-P,74.54
Fudan (Shanghai),software5-P,74.54
HUJI (Yerushalayim),software1-P,73.27
ONLP lab (Ra'anana),software3-P,72.56
CUNI x-ling (Praha),software1-P,71.73
ArmParser (Yerevan),software1-P,57.01
SParse (İstanbul),software1-P,0.0
