UDPipe Future (Praha),software1-P,84.11
HIT-SCIR (Harbin),software1-P,83.91
CEA LIST (Paris),software1-P,83.65
TurkuNLP (Turku),software1-P,83.15
Stanford (Stanford),software2,82.93
ParisNLP (Paris),software1-P,82.14
LATTICE (Paris),software1-P,81.8
LeisureX (Shanghai),software1-P,81.7
ICS PAS (Warszawa),software1-P,81.2
iParse (Pittsburgh),software1-P,80.83
IBM NY (Yorktown Heights),software1-P,79.9
AntNLP (Shanghai),software1-P,79.19
Fudan (Shanghai),software5-P,77.3
UniMelb (Melbourne),software1-P,76.78
BASELINE UDPipe 1.2 (Praha),software1-P,74.45
Phoenix (Shanghai),software1-P,74.21
Uppsala (Uppsala),software1-P,73.68
NLP-Cube (București),software1-P,72.36
ArmParser (Yerevan),software1-P,72.17
KParse (İstanbul),software1-P,71.35
CUNI x-ling (Praha),software1-P,71.19
BOUN (İstanbul),software2-P,71.17
ONLP lab (Ra'anana),software3-P,64.67
SLT-Interactions (Bengaluru),software2-P,44.91
HUJI (Yerushalayim),software1-P,3.14
SParse (İstanbul),software1-P,0.0
