TurkuNLP (Turku),software1-P,62.6
UDPipe Future (Praha),software1-P,61.39
ICS PAS (Warszawa),software1-P,59.55
HIT-SCIR (Harbin),software1-P,59.29
LATTICE (Paris),software1-P,59.2
Uppsala (Uppsala),software1-P,58.05
ParisNLP (Paris),software1-P,57.22
SLT-Interactions (Bengaluru),software2-P,56.32
UniMelb (Melbourne),software1-P,54.62
NLP-Cube (București),software1-P,53.98
AntNLP (Shanghai),software1-P,53.31
Phoenix (Shanghai),software1-P,52.11
BASELINE UDPipe 1.2 (Praha),software1-P,51.68
CEA LIST (Paris),software1-P,51.68
LeisureX (Shanghai),software1-P,51.68
KParse (İstanbul),software1-P,51.48
Fudan (Shanghai),software5-P,51.45
CUNI x-ling (Praha),software1-P,50.82
IBM NY (Yorktown Heights),software1-P,49.47
ONLP lab (Ra'anana),software3-P,47.71
HUJI (Yerushalayim),software1-P,47.42
ArmParser (Yerevan),software1-P,42.94
BOUN (İstanbul),software2-P,42.89
Stanford (Stanford),software2,41.59
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
