UDPipe Future (Praha),software1-P,67.1
Stanford (Stanford),software2,66.81
HIT-SCIR (Harbin),software1-P,66.45
CEA LIST (Paris),software1-P,65.74
TurkuNLP (Turku),software1-P,64.88
ParisNLP (Paris),software1-P,63.44
ICS PAS (Warszawa),software1-P,62.8
LATTICE (Paris),software1-P,62.01
iParse (Pittsburgh),software1-P,61.2
Fudan (Shanghai),software5-P,60.65
IBM NY (Yorktown Heights),software1-P,60.29
SLT-Interactions (Bengaluru),software2-P,60.2
Uppsala (Uppsala),software1-P,60.03
LeisureX (Shanghai),software1-P,59.43
NLP-Cube (București),software1-P,59.23
AntNLP (Shanghai),software1-P,59.15
BASELINE UDPipe 1.2 (Praha),software1-P,58.82
UniMelb (Melbourne),software1-P,58.56
Phoenix (Shanghai),software1-P,58.38
CUNI x-ling (Praha),software1-P,56.42
HUJI (Yerushalayim),software1-P,55.26
BOUN (İstanbul),software2-P,54.16
ArmParser (Yerevan),software1-P,53.12
ONLP lab (Ra'anana),software3-P,50.49
KParse (İstanbul),software1-P,49.39
SParse (İstanbul),software1-P,0.0
