Stanford (Stanford),software2,69.48
HIT-SCIR (Harbin),software1-P,60.95
Uppsala (Uppsala),software1-P,59.17
TurkuNLP (Turku),software1-P,57.6
CEA LIST (Paris),software1-P,56.46
ICS PAS (Warszawa),software1-P,56.26
UDPipe Future (Praha),software1-P,56.26
NLP-Cube (București),software1-P,55.64
SLT-Interactions (Bengaluru),software2-P,55.02
LATTICE (Paris),software1-P,54.61
ParisNLP (Paris),software1-P,54.42
UniMelb (Melbourne),software1-P,53.36
AntNLP (Shanghai),software1-P,53.31
LeisureX (Shanghai),software1-P,52.42
IBM NY (Yorktown Heights),software1-P,51.66
iParse (Pittsburgh),software1-P,51.36
Phoenix (Shanghai),software1-P,49.88
KParse (İstanbul),software1-P,49.8
BASELINE UDPipe 1.2 (Praha),software1-P,49.16
Fudan (Shanghai),software5-P,49.16
HUJI (Yerushalayim),software1-P,49.05
BOUN (İstanbul),software2-P,48.43
ONLP lab (Ra'anana),software3-P,46.99
CUNI x-ling (Praha),software1-P,46.7
ArmParser (Yerevan),software1-P,43.16
SParse (İstanbul),software1-P,0.0
