HIT-SCIR (Harbin),software1-P,77.79
Stanford (Stanford),software2,76.96
CEA LIST (Paris),software1-P,76.65
ICS PAS (Warszawa),software1-P,76.33
UDPipe Future (Praha),software1-P,76.27
Uppsala (Uppsala),software1-P,75.93
NLP-Cube (București),software1-P,75.86
TurkuNLP (Turku),software1-P,75.72
SLT-Interactions (Bengaluru),software2-P,75.47
UniMelb (Melbourne),software1-P,75.07
ParisNLP (Paris),software1-P,74.92
iParse (Pittsburgh),software1-P,74.92
LATTICE (Paris),software1-P,74.9
LeisureX (Shanghai),software1-P,74.47
IBM NY (Yorktown Heights),software1-P,74.41
AntNLP (Shanghai),software1-P,74.26
KParse (İstanbul),software1-P,73.05
Fudan (Shanghai),software5-P,72.51
Phoenix (Shanghai),software1-P,71.78
BASELINE UDPipe 1.2 (Praha),software1-P,71.72
BOUN (İstanbul),software2-P,71.36
CUNI x-ling (Praha),software1-P,70.14
ONLP lab (Ra'anana),software3-P,70.05
HUJI (Yerushalayim),software1-P,67.46
ArmParser (Yerevan),software1-P,60.11
SParse (İstanbul),software1-P,0.0
