Stanford (Stanford),software2,15.18
Uppsala (Uppsala),software1-P,14.65
SLT-Interactions (Bengaluru),software2-P,13.74
HIT-SCIR (Harbin),software1-P,12.44
KParse (İstanbul),software1-P,11.43
Phoenix (Shanghai),software1-P,10.7
ONLP lab (Ra'anana),software3-P,10.6
IBM NY (Yorktown Heights),software1-P,10.56
BASELINE UDPipe 1.2 (Praha),software1-P,10.4
CEA LIST (Paris),software1-P,10.4
Fudan (Shanghai),software5-P,10.4
LATTICE (Paris),software1-P,10.4
LeisureX (Shanghai),software1-P,10.4
CUNI x-ling (Praha),software1-P,10.3
UDPipe Future (Praha),software1-P,9.7
UniMelb (Melbourne),software1-P,9.14
TurkuNLP (Turku),software1-P,9.13
ICS PAS (Warszawa),software1-P,8.5
BOUN (İstanbul),software2-P,6.7
ParisNLP (Paris),software1-P,4.81
NLP-Cube (București),software1-P,4.42
AntNLP (Shanghai),software1-P,3.69
HUJI (Yerushalayim),software1-P,2.64
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
