UDPipe Future (Praha),software1-P,24.49
IBM NY (Yorktown Heights),software1-P,24.19
Uppsala (Uppsala),software1-P,22.13
LATTICE (Paris),software1-P,21.6
HIT-SCIR (Harbin),software1-P,20.29
ONLP lab (Ra'anana),software3-P,19.95
TurkuNLP (Turku),software1-P,19.95
BASELINE UDPipe 1.2 (Praha),software1-P,19.23
CEA LIST (Paris),software1-P,19.23
Fudan (Shanghai),software5-P,19.23
LeisureX (Shanghai),software1-P,19.23
UniMelb (Melbourne),software1-P,19.23
CUNI x-ling (Praha),software1-P,18.91
AntNLP (Shanghai),software1-P,18.73
KParse (İstanbul),software1-P,17.97
NLP-Cube (București),software1-P,17.91
ICS PAS (Warszawa),software1-P,17.68
Stanford (Stanford),software2,15.37
Phoenix (Shanghai),software1-P,14.99
ParisNLP (Paris),software1-P,12.16
BOUN (İstanbul),software2-P,10.14
HUJI (Yerushalayim),software1-P,8.99
SLT-Interactions (Bengaluru),software2-P,7.48
iParse (Pittsburgh),software1-P,4.73
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
