HIT-SCIR (Harbin),software1-P,83.24
LATTICE (Paris),software1-P,82.51
CEA LIST (Paris),software1-P,81.51
TurkuNLP (Turku),software1-P,81.33
Stanford (Stanford),software2,81.19
UDPipe Future (Praha),software1-P,81.01
ParisNLP (Paris),software1-P,80.0
NLP-Cube (București),software1-P,79.75
Uppsala (Uppsala),software1-P,79.62
SLT-Interactions (Bengaluru),software2-P,79.56
ICS PAS (Warszawa),software1-P,78.16
AntNLP (Shanghai),software1-P,77.43
IBM NY (Yorktown Heights),software1-P,76.39
iParse (Pittsburgh),software1-P,75.83
LeisureX (Shanghai),software1-P,73.24
UniMelb (Melbourne),software1-P,72.54
Fudan (Shanghai),software5-P,71.68
BOUN (İstanbul),software2-P,71.63
KParse (İstanbul),software1-P,70.35
HUJI (Yerushalayim),software1-P,58.39
BASELINE UDPipe 1.2 (Praha),software1-P,56.48
Phoenix (Shanghai),software1-P,53.8
ONLP lab (Ra'anana),software3-P,51.85
ArmParser (Yerevan),software1-P,51.67
CUNI x-ling (Praha),software1-P,47.77
SParse (İstanbul),software1-P,0.0
