HIT-SCIR (Harbin),software1-P,84.65
TurkuNLP (Turku),software1-P,84.58
CEA LIST (Paris),software1-P,84.04
LATTICE (Paris),software1-P,84.01
Stanford (Stanford),software2,83.81
UDPipe Future (Praha),software1-P,83.74
NLP-Cube (București),software1-P,83.63
ParisNLP (Paris),software1-P,83.05
SLT-Interactions (Bengaluru),software2-P,82.64
LeisureX (Shanghai),software1-P,82.5
AntNLP (Shanghai),software1-P,82.43
Uppsala (Uppsala),software1-P,82.34
ICS PAS (Warszawa),software1-P,82.29
iParse (Pittsburgh),software1-P,81.9
IBM NY (Yorktown Heights),software1-P,81.03
Fudan (Shanghai),software5-P,79.92
BOUN (İstanbul),software2-P,78.45
UniMelb (Melbourne),software1-P,77.4
KParse (İstanbul),software1-P,74.79
HUJI (Yerushalayim),software1-P,65.59
BASELINE UDPipe 1.2 (Praha),software1-P,64.58
Phoenix (Shanghai),software1-P,64.56
ArmParser (Yerevan),software1-P,58.83
CUNI x-ling (Praha),software1-P,56.54
ONLP lab (Ra'anana),software3-P,54.96
SParse (İstanbul),software1-P,0.0
