HIT-SCIR (Harbin),software1-P,85.8
TurkuNLP (Turku),software1-P,85.2
Stanford (Stanford),software2,84.64
ICS PAS (Warszawa),software1-P,84.15
NLP-Cube (București),software1-P,83.99
UDPipe Future (Praha),software1-P,83.62
CEA LIST (Paris),software1-P,83.53
LATTICE (Paris),software1-P,82.98
ParisNLP (Paris),software1-P,82.94
SLT-Interactions (Bengaluru),software2-P,82.16
LeisureX (Shanghai),software1-P,81.96
AntNLP (Shanghai),software1-P,81.18
iParse (Pittsburgh),software1-P,80.95
IBM NY (Yorktown Heights),software1-P,80.45
Uppsala (Uppsala),software1-P,79.62
Fudan (Shanghai),software5-P,76.31
UniMelb (Melbourne),software1-P,75.37
BASELINE UDPipe 1.2 (Praha),software1-P,72.98
BOUN (İstanbul),software2-P,72.98
Phoenix (Shanghai),software1-P,72.8
KParse (İstanbul),software1-P,72.19
HUJI (Yerushalayim),software1-P,71.04
CUNI x-ling (Praha),software1-P,69.98
ONLP lab (Ra'anana),software3-P,60.29
ArmParser (Yerevan),software1-P,57.76
SParse (İstanbul),software1-P,0.0
