HIT-SCIR (Harbin),software1-P,71.11
Stanford (Stanford),software2,69.2
TurkuNLP (Turku),software1-P,69.01
CEA LIST (Paris),software1-P,68.25
ICS PAS (Warszawa),software1-P,67.12
UDPipe Future (Praha),software1-P,67.06
ParisNLP (Paris),software1-P,64.95
LATTICE (Paris),software1-P,64.52
NLP-Cube (București),software1-P,64.23
SLT-Interactions (Bengaluru),software2-P,63.98
iParse (Pittsburgh),software1-P,63.27
AntNLP (Shanghai),software1-P,63.18
IBM NY (Yorktown Heights),software1-P,61.66
Uppsala (Uppsala),software1-P,60.86
LeisureX (Shanghai),software1-P,59.69
Fudan (Shanghai),software5-P,59.26
UniMelb (Melbourne),software1-P,58.64
Phoenix (Shanghai),software1-P,56.62
BASELINE UDPipe 1.2 (Praha),software1-P,56.27
KParse (İstanbul),software1-P,55.95
BOUN (İstanbul),software2-P,54.35
CUNI x-ling (Praha),software1-P,51.36
HUJI (Yerushalayim),software1-P,51.05
ArmParser (Yerevan),software1-P,48.44
ONLP lab (Ra'anana),software3-P,43.96
SParse (İstanbul),software1-P,0.0
