HIT-SCIR (Harbin),software1-P,81.17
Stanford (Stanford),software2,78.92
TurkuNLP (Turku),software1-P,77.88
ICS PAS (Warszawa),software1-P,77.56
CEA LIST (Paris),software1-P,77.16
UDPipe Future (Praha),software1-P,76.47
ParisNLP (Paris),software1-P,75.24
SLT-Interactions (Bengaluru),software2-P,74.95
NLP-Cube (București),software1-P,74.87
Uppsala (Uppsala),software1-P,73.66
LATTICE (Paris),software1-P,72.69
AntNLP (Shanghai),software1-P,72.21
UniMelb (Melbourne),software1-P,71.55
LeisureX (Shanghai),software1-P,69.17
IBM NY (Yorktown Heights),software1-P,69.09
KParse (İstanbul),software1-P,68.46
Fudan (Shanghai),software5-P,65.74
BASELINE UDPipe 1.2 (Praha),software1-P,65.51
Phoenix (Shanghai),software1-P,64.99
BOUN (İstanbul),software2-P,64.5
CUNI x-ling (Praha),software1-P,62.81
HUJI (Yerushalayim),software1-P,59.84
ArmParser (Yerevan),software1-P,55.96
ONLP lab (Ra'anana),software3-P,54.42
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
