HIT-SCIR (Harbin),software1-P,89.15
Stanford (Stanford),software2,88.16
UDPipe Future (Praha),software1-P,87.77
CEA LIST (Paris),software1-P,87.37
TurkuNLP (Turku),software1-P,87.24
ICS PAS (Warszawa),software1-P,86.84
AntNLP (Shanghai),software1-P,86.79
ParisNLP (Paris),software1-P,86.46
SLT-Interactions (Bengaluru),software2-P,86.18
NLP-Cube (București),software1-P,85.9
Uppsala (Uppsala),software1-P,85.64
LATTICE (Paris),software1-P,85.6
LeisureX (Shanghai),software1-P,85.54
iParse (Pittsburgh),software1-P,84.59
UniMelb (Melbourne),software1-P,83.89
IBM NY (Yorktown Heights),software1-P,83.49
Fudan (Shanghai),software5-P,80.86
BASELINE UDPipe 1.2 (Praha),software1-P,79.99
Phoenix (Shanghai),software1-P,79.67
HUJI (Yerushalayim),software1-P,78.82
KParse (İstanbul),software1-P,78.56
BOUN (İstanbul),software2-P,77.3
CUNI x-ling (Praha),software1-P,77.06
ONLP lab (Ra'anana),software3-P,74.18
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
