HIT-SCIR (Harbin),software1-P,88.98
Stanford (Stanford),software2,87.13
TurkuNLP (Turku),software1-P,87.0
UDPipe Future (Praha),software1-P,86.61
CEA LIST (Paris),software1-P,86.43
ParisNLP (Paris),software1-P,86.15
NLP-Cube (București),software1-P,85.9
ICS PAS (Warszawa),software1-P,85.55
SLT-Interactions (Bengaluru),software2-P,85.44
AntNLP (Shanghai),software1-P,85.41
LATTICE (Paris),software1-P,84.96
Uppsala (Uppsala),software1-P,84.48
LeisureX (Shanghai),software1-P,84.28
UniMelb (Melbourne),software1-P,83.31
iParse (Pittsburgh),software1-P,82.78
IBM NY (Yorktown Heights),software1-P,82.08
Fudan (Shanghai),software5-P,79.37
BASELINE UDPipe 1.2 (Praha),software1-P,78.12
Phoenix (Shanghai),software1-P,77.83
KParse (İstanbul),software1-P,76.09
CUNI x-ling (Praha),software1-P,75.41
BOUN (İstanbul),software2-P,73.37
ONLP lab (Ra'anana),software3-P,71.83
HUJI (Yerushalayim),software1-P,66.44
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
