HIT-SCIR (Harbin),software1-P,83.89
CEA LIST (Paris),software1-P,83.77
Stanford (Stanford),software2,83.61
TurkuNLP (Turku),software1-P,83.04
ICS PAS (Warszawa),software1-P,83.01
UDPipe Future (Praha),software1-P,82.67
LATTICE (Paris),software1-P,82.14
AntNLP (Shanghai),software1-P,81.75
ParisNLP (Paris),software1-P,81.66
NLP-Cube (București),software1-P,81.23
SLT-Interactions (Bengaluru),software2-P,80.53
LeisureX (Shanghai),software1-P,80.38
Uppsala (Uppsala),software1-P,79.98
iParse (Pittsburgh),software1-P,79.66
UniMelb (Melbourne),software1-P,79.39
IBM NY (Yorktown Heights),software1-P,78.1
Fudan (Shanghai),software5-P,77.49
KParse (İstanbul),software1-P,76.54
BOUN (İstanbul),software2-P,76.01
BASELINE UDPipe 1.2 (Praha),software1-P,75.44
Phoenix (Shanghai),software1-P,75.3
HUJI (Yerushalayim),software1-P,74.85
CUNI x-ling (Praha),software1-P,72.91
ONLP lab (Ra'anana),software3-P,69.99
ArmParser (Yerevan),software1-P,61.05
SParse (İstanbul),software1-P,0.0
