HIT-SCIR (Harbin),software1-P,91.0
TurkuNLP (Turku),software1-P,90.16
Stanford (Stanford),software2,89.97
ParisNLP (Paris),software1-P,89.82
UDPipe Future (Praha),software1-P,89.81
ICS PAS (Warszawa),software1-P,89.41
LATTICE (Paris),software1-P,89.31
NLP-Cube (București),software1-P,89.14
LeisureX (Shanghai),software1-P,88.34
AntNLP (Shanghai),software1-P,88.22
CEA LIST (Paris),software1-P,88.08
SLT-Interactions (Bengaluru),software2-P,87.5
Uppsala (Uppsala),software1-P,87.05
UniMelb (Melbourne),software1-P,86.08
IBM NY (Yorktown Heights),software1-P,85.57
Fudan (Shanghai),software5-P,83.52
BASELINE UDPipe 1.2 (Praha),software1-P,82.43
Phoenix (Shanghai),software1-P,82.33
BOUN (İstanbul),software2-P,81.73
KParse (İstanbul),software1-P,79.64
CUNI x-ling (Praha),software1-P,76.63
HUJI (Yerushalayim),software1-P,74.53
ONLP lab (Ra'anana),software3-P,71.54
ArmParser (Yerevan),software1-P,66.27
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
