HIT-SCIR (Harbin),software1-P,56.73
ICS PAS (Warszawa),software1-P,53.1
LATTICE (Paris),software1-P,51.87
AntNLP (Shanghai),software1-P,51.66
Uppsala (Uppsala),software1-P,51.14
TurkuNLP (Turku),software1-P,48.72
UDPipe Future (Praha),software1-P,47.88
SLT-Interactions (Bengaluru),software2-P,47.74
ParisNLP (Paris),software1-P,45.79
KParse (İstanbul),software1-P,43.33
Stanford (Stanford),software2,43.03
IBM NY (Yorktown Heights),software1-P,42.89
BASELINE UDPipe 1.2 (Praha),software1-P,41.85
CEA LIST (Paris),software1-P,41.85
LeisureX (Shanghai),software1-P,41.85
NLP-Cube (București),software1-P,41.82
UniMelb (Melbourne),software1-P,41.27
Phoenix (Shanghai),software1-P,40.64
CUNI x-ling (Praha),software1-P,40.49
ArmParser (Yerevan),software1-P,39.32
BOUN (İstanbul),software2-P,39.26
iParse (Pittsburgh),software1-P,37.35
Fudan (Shanghai),software5-P,37.02
ONLP lab (Ra'anana),software3-P,35.62
HUJI (Yerushalayim),software1-P,34.44
SParse (İstanbul),software1-P,0.0
