HIT-SCIR (Harbin),software1-P,79.01
ICS PAS (Warszawa),software1-P,77.64
TurkuNLP (Turku),software1-P,77.18
LATTICE (Paris),software1-P,76.88
Stanford (Stanford),software2,76.31
Uppsala (Uppsala),software1-P,75.64
UDPipe Future (Praha),software1-P,75.51
NLP-Cube (București),software1-P,75.4
CEA LIST (Paris),software1-P,73.78
IBM NY (Yorktown Heights),software1-P,73.63
AntNLP (Shanghai),software1-P,73.53
SLT-Interactions (Bengaluru),software2-P,71.28
UniMelb (Melbourne),software1-P,69.41
ParisNLP (Paris),software1-P,68.21
Phoenix (Shanghai),software1-P,68.2
KParse (İstanbul),software1-P,66.9
BASELINE UDPipe 1.2 (Praha),software1-P,66.48
Fudan (Shanghai),software5-P,66.48
LeisureX (Shanghai),software1-P,66.36
iParse (Pittsburgh),software1-P,66.12
CUNI x-ling (Praha),software1-P,64.55
HUJI (Yerushalayim),software1-P,62.32
BOUN (İstanbul),software2-P,58.37
ONLP lab (Ra'anana),software3-P,30.36
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
