HIT-SCIR (Harbin),software1-P,61.73
UDPipe Future (Praha),software1-P,59.27
SLT-Interactions (Bengaluru),software2-P,57.64
ICS PAS (Warszawa),software1-P,56.57
TurkuNLP (Turku),software1-P,56.38
CEA LIST (Paris),software1-P,56.22
Uppsala (Uppsala),software1-P,56.13
Stanford (Stanford),software2,56.11
LATTICE (Paris),software1-P,55.6
AntNLP (Shanghai),software1-P,54.74
ParisNLP (Paris),software1-P,54.71
UniMelb (Melbourne),software1-P,54.12
NLP-Cube (București),software1-P,53.52
IBM NY (Yorktown Heights),software1-P,53.07
LeisureX (Shanghai),software1-P,50.23
KParse (İstanbul),software1-P,49.44
BASELINE UDPipe 1.2 (Praha),software1-P,48.21
Fudan (Shanghai),software5-P,48.12
BOUN (İstanbul),software2-P,47.99
Phoenix (Shanghai),software1-P,47.5
CUNI x-ling (Praha),software1-P,45.35
ArmParser (Yerevan),software1-P,40.44
HUJI (Yerushalayim),software1-P,36.58
ONLP lab (Ra'anana),software3-P,35.67
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
