HIT-SCIR (Harbin),software1-P,72.99
Stanford (Stanford),software2,67.44
NLP-Cube (București),software1-P,65.39
Uppsala (Uppsala),software1-P,65.13
LATTICE (Paris),software1-P,64.31
SLT-Interactions (Bengaluru),software2-P,62.82
TurkuNLP (Turku),software1-P,62.25
UDPipe Future (Praha),software1-P,61.41
CEA LIST (Paris),software1-P,60.9
ICS PAS (Warszawa),software1-P,59.39
UniMelb (Melbourne),software1-P,58.9
LeisureX (Shanghai),software1-P,58.72
AntNLP (Shanghai),software1-P,58.21
ParisNLP (Paris),software1-P,58.03
iParse (Pittsburgh),software1-P,57.75
IBM NY (Yorktown Heights),software1-P,55.42
KParse (İstanbul),software1-P,55.21
Fudan (Shanghai),software5-P,54.93
BASELINE UDPipe 1.2 (Praha),software1-P,52.94
Phoenix (Shanghai),software1-P,52.33
CUNI x-ling (Praha),software1-P,51.55
BOUN (İstanbul),software2-P,51.22
ONLP lab (Ra'anana),software3-P,51.02
ArmParser (Yerevan),software1-P,49.96
HUJI (Yerushalayim),software1-P,47.67
SParse (İstanbul),software1-P,0.0
