CUNI x-ling (Praha),software1-P,27.89
Uppsala (Uppsala),software1-P,25.87
CEA LIST (Paris),software1-P,23.9
HIT-SCIR (Harbin),software1-P,23.88
LATTICE (Paris),software1-P,23.39
TurkuNLP (Turku),software1-P,22.91
IBM NY (Yorktown Heights),software1-P,21.88
UDPipe Future (Praha),software1-P,21.75
ICS PAS (Warszawa),software1-P,19.26
AntNLP (Shanghai),software1-P,18.59
KParse (İstanbul),software1-P,17.84
SLT-Interactions (Bengaluru),software2-P,17.47
Stanford (Stanford),software2,17.45
BASELINE UDPipe 1.2 (Praha),software1-P,17.17
UniMelb (Melbourne),software1-P,17.17
LeisureX (Shanghai),software1-P,17.16
Phoenix (Shanghai),software1-P,16.99
NLP-Cube (București),software1-P,16.85
ParisNLP (Paris),software1-P,16.52
ONLP lab (Ra'anana),software3-P,15.98
Fudan (Shanghai),software5-P,15.45
BOUN (İstanbul),software2-P,14.78
HUJI (Yerushalayim),software1-P,8.53
ArmParser (Yerevan),software1-P,7.47
iParse (Pittsburgh),software1-P,2.82
SParse (İstanbul),software1-P,0.0
