HIT-SCIR (Harbin),software1-P,69.53
LATTICE (Paris),software1-P,68.12
ICS PAS (Warszawa),software1-P,66.9
TurkuNLP (Turku),software1-P,64.48
UDPipe Future (Praha),software1-P,64.21
AntNLP (Shanghai),software1-P,63.73
Uppsala (Uppsala),software1-P,63.6
ParisNLP (Paris),software1-P,60.84
CEA LIST (Paris),software1-P,57.34
KParse (İstanbul),software1-P,57.32
NLP-Cube (București),software1-P,56.78
SLT-Interactions (Bengaluru),software2-P,56.74
IBM NY (Yorktown Heights),software1-P,56.13
UniMelb (Melbourne),software1-P,56.12
BASELINE UDPipe 1.2 (Praha),software1-P,55.01
LeisureX (Shanghai),software1-P,55.01
Fudan (Shanghai),software5-P,54.63
Phoenix (Shanghai),software1-P,54.63
CUNI x-ling (Praha),software1-P,54.33
BOUN (İstanbul),software2-P,50.18
Stanford (Stanford),software2,48.56
ONLP lab (Ra'anana),software3-P,47.49
iParse (Pittsburgh),software1-P,38.79
HUJI (Yerushalayim),software1-P,36.74
ArmParser (Yerevan),software1-P,34.54
SParse (İstanbul),software1-P,0.0
