CEA LIST (Paris),software1-P,38.64
Uppsala (Uppsala),software1-P,33.62
TurkuNLP (Turku),software1-P,31.84
CUNI x-ling (Praha),software1-P,26.88
LATTICE (Paris),software1-P,23.65
SLT-Interactions (Bengaluru),software2-P,14.15
UDPipe Future (Praha),software1-P,13.87
ICS PAS (Warszawa),software1-P,13.47
iParse (Pittsburgh),software1-P,12.16
BOUN (İstanbul),software2-P,10.59
ParisNLP (Paris),software1-P,10.53
BASELINE UDPipe 1.2 (Praha),software1-P,10.25
Fudan (Shanghai),software5-P,10.25
LeisureX (Shanghai),software1-P,10.25
UniMelb (Melbourne),software1-P,10.25
AntNLP (Shanghai),software1-P,10.06
NLP-Cube (București),software1-P,9.9
IBM NY (Yorktown Heights),software1-P,9.45
KParse (İstanbul),software1-P,8.91
Phoenix (Shanghai),software1-P,8.88
HIT-SCIR (Harbin),software1-P,8.54
HUJI (Yerushalayim),software1-P,7.29
ONLP lab (Ra'anana),software3-P,7.01
Stanford (Stanford),software2,4.48
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
