HIT-SCIR (Harbin),software1-P,91.61
Stanford (Stanford),software2,90.82
UDPipe Future (Praha),software1-P,90.79
ICS PAS (Warszawa),software1-P,90.54
NLP-Cube (București),software1-P,90.49
CEA LIST (Paris),software1-P,90.22
TurkuNLP (Turku),software1-P,90.06
ParisNLP (Paris),software1-P,89.96
LATTICE (Paris),software1-P,89.56
SLT-Interactions (Bengaluru),software2-P,89.42
LeisureX (Shanghai),software1-P,89.38
iParse (Pittsburgh),software1-P,89.33
AntNLP (Shanghai),software1-P,89.28
Uppsala (Uppsala),software1-P,88.94
UniMelb (Melbourne),software1-P,88.33
IBM NY (Yorktown Heights),software1-P,87.6
Fudan (Shanghai),software5-P,87.55
KParse (İstanbul),software1-P,85.89
BASELINE UDPipe 1.2 (Praha),software1-P,85.61
Phoenix (Shanghai),software1-P,85.49
BOUN (İstanbul),software2-P,85.03
CUNI x-ling (Praha),software1-P,81.81
ONLP lab (Ra'anana),software3-P,80.49
HUJI (Yerushalayim),software1-P,77.52
ArmParser (Yerevan),software1-P,68.2
SParse (İstanbul),software1-P,0.0
