HIT-SCIR (Harbin),software1-P,86.13
ICS PAS (Warszawa),software1-P,85.35
CEA LIST (Paris),software1-P,84.89
UDPipe Future (Praha),software1-P,84.86
NLP-Cube (București),software1-P,84.82
AntNLP (Shanghai),software1-P,84.76
TurkuNLP (Turku),software1-P,84.76
Uppsala (Uppsala),software1-P,84.36
LATTICE (Paris),software1-P,83.88
Stanford (Stanford),software2,83.86
SLT-Interactions (Bengaluru),software2-P,83.76
IBM NY (Yorktown Heights),software1-P,83.0
ParisNLP (Paris),software1-P,82.68
iParse (Pittsburgh),software1-P,80.61
UniMelb (Melbourne),software1-P,80.49
Phoenix (Shanghai),software1-P,80.34
BASELINE UDPipe 1.2 (Praha),software1-P,80.08
KParse (İstanbul),software1-P,78.69
LeisureX (Shanghai),software1-P,78.17
CUNI x-ling (Praha),software1-P,76.83
BOUN (İstanbul),software2-P,69.6
HUJI (Yerushalayim),software1-P,68.5
Fudan (Shanghai),software5-P,64.67
ONLP lab (Ra'anana),software3-P,49.25
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
