Stanford (Stanford),software2,75.73
UDPipe Future (Praha),software1-P,74.84
HIT-SCIR (Harbin),software1-P,74.29
TurkuNLP (Turku),software1-P,73.36
CEA LIST (Paris),software1-P,73.13
ICS PAS (Warszawa),software1-P,71.14
ParisNLP (Paris),software1-P,70.54
LATTICE (Paris),software1-P,70.48
Uppsala (Uppsala),software1-P,70.44
IBM NY (Yorktown Heights),software1-P,69.65
SLT-Interactions (Bengaluru),software2-P,68.81
LeisureX (Shanghai),software1-P,68.68
AntNLP (Shanghai),software1-P,68.23
iParse (Pittsburgh),software1-P,68.2
Fudan (Shanghai),software5-P,67.72
NLP-Cube (București),software1-P,67.7
Phoenix (Shanghai),software1-P,65.59
BASELINE UDPipe 1.2 (Praha),software1-P,65.46
UniMelb (Melbourne),software1-P,64.21
CUNI x-ling (Praha),software1-P,64.01
HUJI (Yerushalayim),software1-P,61.3
BOUN (İstanbul),software2-P,60.39
KParse (İstanbul),software1-P,59.42
ONLP lab (Ra'anana),software3-P,55.34
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
