HIT-SCIR (Harbin),software1-P,89.65
Stanford (Stanford),software2,89.59
UDPipe Future (Praha),software1-P,89.05
ICS PAS (Warszawa),software1-P,88.49
TurkuNLP (Turku),software1-P,88.21
CEA LIST (Paris),software1-P,88.18
ParisNLP (Paris),software1-P,86.83
SLT-Interactions (Bengaluru),software2-P,86.67
Uppsala (Uppsala),software1-P,86.39
NLP-Cube (București),software1-P,86.19
LATTICE (Paris),software1-P,86.02
AntNLP (Shanghai),software1-P,85.76
IBM NY (Yorktown Heights),software1-P,84.37
iParse (Pittsburgh),software1-P,84.21
UniMelb (Melbourne),software1-P,83.74
KParse (İstanbul),software1-P,83.34
LeisureX (Shanghai),software1-P,83.17
Fudan (Shanghai),software5-P,82.56
Phoenix (Shanghai),software1-P,82.22
BASELINE UDPipe 1.2 (Praha),software1-P,82.11
BOUN (İstanbul),software2-P,82.11
CUNI x-ling (Praha),software1-P,80.47
ONLP lab (Ra'anana),software3-P,77.37
HUJI (Yerushalayim),software1-P,75.49
ArmParser (Yerevan),software1-P,64.67
SParse (İstanbul),software1-P,0.0
