LATTICE (Paris),software1-P,87.89
HIT-SCIR (Harbin),software1-P,87.73
ICS PAS (Warszawa),software1-P,85.66
Stanford (Stanford),software2,85.54
TurkuNLP (Turku),software1-P,85.44
NLP-Cube (București),software1-P,85.31
UDPipe Future (Praha),software1-P,85.02
SLT-Interactions (Bengaluru),software2-P,84.64
AntNLP (Shanghai),software1-P,84.6
Uppsala (Uppsala),software1-P,84.09
UniMelb (Melbourne),software1-P,83.61
LeisureX (Shanghai),software1-P,83.49
IBM NY (Yorktown Heights),software1-P,81.13
ParisNLP (Paris),software1-P,80.75
CEA LIST (Paris),software1-P,79.84
Phoenix (Shanghai),software1-P,79.69
BASELINE UDPipe 1.2 (Praha),software1-P,79.56
Fudan (Shanghai),software5-P,79.56
KParse (İstanbul),software1-P,78.41
CUNI x-ling (Praha),software1-P,77.8
HUJI (Yerushalayim),software1-P,74.12
iParse (Pittsburgh),software1-P,70.41
BOUN (İstanbul),software2-P,69.28
ONLP lab (Ra'anana),software3-P,63.73
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
