HIT-SCIR (Harbin),software1-P,84.22
CEA LIST (Paris),software1-P,83.13
ICS PAS (Warszawa),software1-P,83.12
Stanford (Stanford),software2,82.75
UDPipe Future (Praha),software1-P,82.65
TurkuNLP (Turku),software1-P,82.38
NLP-Cube (București),software1-P,81.53
LATTICE (Paris),software1-P,81.13
ParisNLP (Paris),software1-P,80.45
SLT-Interactions (Bengaluru),software2-P,79.57
AntNLP (Shanghai),software1-P,79.01
Uppsala (Uppsala),software1-P,78.12
iParse (Pittsburgh),software1-P,77.48
LeisureX (Shanghai),software1-P,76.49
IBM NY (Yorktown Heights),software1-P,75.09
UniMelb (Melbourne),software1-P,74.96
KParse (İstanbul),software1-P,74.55
Fudan (Shanghai),software5-P,72.74
BOUN (İstanbul),software2-P,70.41
Phoenix (Shanghai),software1-P,70.14
BASELINE UDPipe 1.2 (Praha),software1-P,70.13
CUNI x-ling (Praha),software1-P,67.14
HUJI (Yerushalayim),software1-P,56.63
ONLP lab (Ra'anana),software3-P,55.21
ArmParser (Yerevan),software1-P,55.05
SParse (İstanbul),software1-P,0.0
