HIT-SCIR (Harbin),software1-P,88.11
CEA LIST (Paris),software1-P,86.18
ICS PAS (Warszawa),software1-P,86.14
UDPipe Future (Praha),software1-P,86.14
TurkuNLP (Turku),software1-P,85.99
Stanford (Stanford),software2,85.93
NLP-Cube (București),software1-P,85.21
ParisNLP (Paris),software1-P,85.14
SLT-Interactions (Bengaluru),software2-P,84.94
LATTICE (Paris),software1-P,84.8
AntNLP (Shanghai),software1-P,83.98
Uppsala (Uppsala),software1-P,83.39
UniMelb (Melbourne),software1-P,83.36
LeisureX (Shanghai),software1-P,82.78
IBM NY (Yorktown Heights),software1-P,82.71
iParse (Pittsburgh),software1-P,82.49
KParse (İstanbul),software1-P,81.18
Phoenix (Shanghai),software1-P,79.68
BOUN (İstanbul),software2-P,79.62
BASELINE UDPipe 1.2 (Praha),software1-P,79.1
Fudan (Shanghai),software5-P,79.1
CUNI x-ling (Praha),software1-P,76.59
ONLP lab (Ra'anana),software3-P,76.32
HUJI (Yerushalayim),software1-P,75.72
ArmParser (Yerevan),software1-P,61.84
SParse (İstanbul),software1-P,0.0
