HIT-SCIR (Harbin),software1-P,88.73
Stanford (Stanford),software2,87.64
TurkuNLP (Turku),software1-P,86.6
CEA LIST (Paris),software1-P,85.99
ICS PAS (Warszawa),software1-P,85.93
UDPipe Future (Praha),software1-P,85.72
LATTICE (Paris),software1-P,85.42
Uppsala (Uppsala),software1-P,84.33
NLP-Cube (București),software1-P,83.74
SLT-Interactions (Bengaluru),software2-P,83.63
AntNLP (Shanghai),software1-P,83.18
ParisNLP (Paris),software1-P,83.06
UniMelb (Melbourne),software1-P,81.25
LeisureX (Shanghai),software1-P,80.88
IBM NY (Yorktown Heights),software1-P,79.79
KParse (İstanbul),software1-P,78.42
Fudan (Shanghai),software5-P,78.13
BASELINE UDPipe 1.2 (Praha),software1-P,76.45
Phoenix (Shanghai),software1-P,76.44
BOUN (İstanbul),software2-P,75.68
CUNI x-ling (Praha),software1-P,72.93
HUJI (Yerushalayim),software1-P,66.19
ONLP lab (Ra'anana),software3-P,63.58
ArmParser (Yerevan),software1-P,58.65
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
