HIT-SCIR (Harbin),software1-P,75.78
ICS PAS (Warszawa),software1-P,74.31
LATTICE (Paris),software1-P,73.62
SLT-Interactions (Bengaluru),software2-P,73.04
Stanford (Stanford),software2,72.52
Uppsala (Uppsala),software1-P,71.26
UDPipe Future (Praha),software1-P,71.16
AntNLP (Shanghai),software1-P,70.96
CEA LIST (Paris),software1-P,69.83
KParse (İstanbul),software1-P,69.72
TurkuNLP (Turku),software1-P,69.3
UniMelb (Melbourne),software1-P,67.18
ParisNLP (Paris),software1-P,66.41
NLP-Cube (București),software1-P,65.81
Phoenix (Shanghai),software1-P,65.66
BASELINE UDPipe 1.2 (Praha),software1-P,65.56
IBM NY (Yorktown Heights),software1-P,65.34
LeisureX (Shanghai),software1-P,65.3
CUNI x-ling (Praha),software1-P,63.87
Fudan (Shanghai),software5-P,62.8
iParse (Pittsburgh),software1-P,62.1
ONLP lab (Ra'anana),software3-P,61.29
HUJI (Yerushalayim),software1-P,60.65
ArmParser (Yerevan),software1-P,58.94
BOUN (İstanbul),software2-P,58.88
SParse (İstanbul),software1-P,0.0
