HIT-SCIR (Harbin),software1-P,79.39
Stanford (Stanford),software2,74.29
ICS PAS (Warszawa),software1-P,74.2
CEA LIST (Paris),software1-P,73.41
TurkuNLP (Turku),software1-P,73.26
UDPipe Future (Praha),software1-P,72.49
ParisNLP (Paris),software1-P,71.76
LATTICE (Paris),software1-P,71.63
AntNLP (Shanghai),software1-P,70.76
iParse (Pittsburgh),software1-P,66.82
IBM NY (Yorktown Heights),software1-P,66.23
NLP-Cube (București),software1-P,66.17
Uppsala (Uppsala),software1-P,65.17
SLT-Interactions (Bengaluru),software2-P,65.0
LeisureX (Shanghai),software1-P,63.68
Fudan (Shanghai),software5-P,63.31
UniMelb (Melbourne),software1-P,58.18
BASELINE UDPipe 1.2 (Praha),software1-P,57.75
Phoenix (Shanghai),software1-P,55.25
KParse (İstanbul),software1-P,55.03
BOUN (İstanbul),software2-P,54.57
CUNI x-ling (Praha),software1-P,52.4
ArmParser (Yerevan),software1-P,46.35
ONLP lab (Ra'anana),software3-P,35.21
HUJI (Yerushalayim),software1-P,1.92
SParse (İstanbul),software1-P,0.0
