HIT-SCIR (Harbin),software1-P,87.36
Stanford (Stanford),software2,86.76
ICS PAS (Warszawa),software1-P,86.32
TurkuNLP (Turku),software1-P,86.21
CEA LIST (Paris),software1-P,86.18
UDPipe Future (Praha),software1-P,85.93
NLP-Cube (București),software1-P,85.81
SLT-Interactions (Bengaluru),software2-P,84.83
LATTICE (Paris),software1-P,84.67
Uppsala (Uppsala),software1-P,84.62
ParisNLP (Paris),software1-P,84.53
AntNLP (Shanghai),software1-P,83.48
UniMelb (Melbourne),software1-P,83.11
LeisureX (Shanghai),software1-P,83.06
IBM NY (Yorktown Heights),software1-P,82.64
iParse (Pittsburgh),software1-P,82.17
KParse (İstanbul),software1-P,81.6
Phoenix (Shanghai),software1-P,78.66
BASELINE UDPipe 1.2 (Praha),software1-P,78.61
Fudan (Shanghai),software5-P,78.61
CUNI x-ling (Praha),software1-P,76.24
BOUN (İstanbul),software2-P,75.91
HUJI (Yerushalayim),software1-P,75.77
ONLP lab (Ra'anana),software3-P,73.71
ArmParser (Yerevan),software1-P,60.79
SParse (İstanbul),software1-P,0.0
