HIT-SCIR (Harbin),software1-P,92.0
Stanford (Stanford),software2,91.47
ICS PAS (Warszawa),software1-P,91.03
UDPipe Future (Praha),software1-P,90.75
TurkuNLP (Turku),software1-P,90.22
NLP-Cube (București),software1-P,90.21
CEA LIST (Paris),software1-P,90.01
LATTICE (Paris),software1-P,89.96
ParisNLP (Paris),software1-P,89.51
UniMelb (Melbourne),software1-P,89.48
Uppsala (Uppsala),software1-P,89.43
AntNLP (Shanghai),software1-P,89.14
SLT-Interactions (Bengaluru),software2-P,89.14
iParse (Pittsburgh),software1-P,89.02
LeisureX (Shanghai),software1-P,88.91
SParse (İstanbul),software1-P,87.48
Fudan (Shanghai),software5-P,87.46
IBM NY (Yorktown Heights),software1-P,87.14
BASELINE UDPipe 1.2 (Praha),software1-P,86.26
Phoenix (Shanghai),software1-P,86.1
HUJI (Yerushalayim),software1-P,85.89
KParse (İstanbul),software1-P,85.8
BOUN (İstanbul),software2-P,84.96
CUNI x-ling (Praha),software1-P,83.25
ONLP lab (Ra'anana),software3-P,82.22
ArmParser (Yerevan),software1-P,71.0
