IBM NY (Yorktown Heights),software1-P,30.41
Uppsala (Uppsala),software1-P,29.54
UDPipe Future (Praha),software1-P,29.09
LATTICE (Paris),software1-P,27.94
HIT-SCIR (Harbin),software1-P,26.26
ONLP lab (Ra'anana),software3-P,25.1
NLP-Cube (București),software1-P,24.18
CUNI x-ling (Praha),software1-P,24.03
BASELINE UDPipe 1.2 (Praha),software1-P,23.92
CEA LIST (Paris),software1-P,23.92
Fudan (Shanghai),software5-P,23.92
LeisureX (Shanghai),software1-P,23.92
UniMelb (Melbourne),software1-P,23.92
TurkuNLP (Turku),software1-P,23.44
KParse (İstanbul),software1-P,23.39
AntNLP (Shanghai),software1-P,23.2
ICS PAS (Warszawa),software1-P,21.95
Stanford (Stanford),software2,20.94
Phoenix (Shanghai),software1-P,19.08
ParisNLP (Paris),software1-P,17.93
BOUN (İstanbul),software2-P,14.12
HUJI (Yerushalayim),software1-P,12.89
SLT-Interactions (Bengaluru),software2-P,9.39
iParse (Pittsburgh),software1-P,4.42
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
