HIT-SCIR (Harbin),software1-P,86.91
TurkuNLP (Turku),software1-P,86.84
CEA LIST (Paris),software1-P,86.41
LATTICE (Paris),software1-P,86.32
Stanford (Stanford),software2,86.22
UDPipe Future (Praha),software1-P,86.16
NLP-Cube (București),software1-P,86.0
ParisNLP (Paris),software1-P,85.49
SLT-Interactions (Bengaluru),software2-P,85.25
LeisureX (Shanghai),software1-P,85.11
AntNLP (Shanghai),software1-P,85.01
Uppsala (Uppsala),software1-P,84.98
ICS PAS (Warszawa),software1-P,84.88
iParse (Pittsburgh),software1-P,84.56
IBM NY (Yorktown Heights),software1-P,83.81
Fudan (Shanghai),software5-P,82.74
BOUN (İstanbul),software2-P,81.45
UniMelb (Melbourne),software1-P,80.74
KParse (İstanbul),software1-P,78.81
Phoenix (Shanghai),software1-P,70.26
BASELINE UDPipe 1.2 (Praha),software1-P,70.25
HUJI (Yerushalayim),software1-P,69.15
ArmParser (Yerevan),software1-P,64.45
CUNI x-ling (Praha),software1-P,63.5
ONLP lab (Ra'anana),software3-P,59.36
SParse (İstanbul),software1-P,0.0
