HIT-SCIR (Harbin),software1-P,72.63
ICS PAS (Warszawa),software1-P,68.07
LATTICE (Paris),software1-P,64.96
TurkuNLP (Turku),software1-P,62.27
AntNLP (Shanghai),software1-P,60.99
SLT-Interactions (Bengaluru),software2-P,60.28
UDPipe Future (Praha),software1-P,60.08
Uppsala (Uppsala),software1-P,58.32
ParisNLP (Paris),software1-P,55.02
NLP-Cube (București),software1-P,51.92
KParse (İstanbul),software1-P,51.6
BASELINE UDPipe 1.2 (Praha),software1-P,47.61
CEA LIST (Paris),software1-P,47.61
Fudan (Shanghai),software5-P,47.61
LeisureX (Shanghai),software1-P,47.61
Phoenix (Shanghai),software1-P,46.44
UniMelb (Melbourne),software1-P,46.16
CUNI x-ling (Praha),software1-P,44.96
IBM NY (Yorktown Heights),software1-P,43.4
Stanford (Stanford),software2,42.82
BOUN (İstanbul),software2-P,41.94
ArmParser (Yerevan),software1-P,38.84
HUJI (Yerushalayim),software1-P,30.35
ONLP lab (Ra'anana),software3-P,28.12
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
