HIT-SCIR (Harbin),software1-P,73.61
Stanford (Stanford),software2,71.76
TurkuNLP (Turku),software1-P,71.48
CEA LIST (Paris),software1-P,71.07
ICS PAS (Warszawa),software1-P,70.08
UDPipe Future (Praha),software1-P,69.79
ParisNLP (Paris),software1-P,67.9
LATTICE (Paris),software1-P,67.73
NLP-Cube (București),software1-P,67.36
SLT-Interactions (Bengaluru),software2-P,67.05
iParse (Pittsburgh),software1-P,66.42
AntNLP (Shanghai),software1-P,66.24
IBM NY (Yorktown Heights),software1-P,64.69
Uppsala (Uppsala),software1-P,64.1
Fudan (Shanghai),software5-P,62.64
LeisureX (Shanghai),software1-P,62.62
UniMelb (Melbourne),software1-P,62.05
Phoenix (Shanghai),software1-P,60.35
BASELINE UDPipe 1.2 (Praha),software1-P,59.66
KParse (İstanbul),software1-P,59.35
BOUN (İstanbul),software2-P,58.2
CUNI x-ling (Praha),software1-P,55.21
HUJI (Yerushalayim),software1-P,52.96
ArmParser (Yerevan),software1-P,52.04
ONLP lab (Ra'anana),software3-P,48.13
SParse (İstanbul),software1-P,0.0
