HIT-SCIR (Harbin),software1-P,89.56
Stanford (Stanford),software2,87.49
ICS PAS (Warszawa),software1-P,87.15
UDPipe Future (Praha),software1-P,87.09
LATTICE (Paris),software1-P,86.13
NLP-Cube (București),software1-P,85.95
CEA LIST (Paris),software1-P,85.79
TurkuNLP (Turku),software1-P,85.38
ParisNLP (Paris),software1-P,85.17
SLT-Interactions (Bengaluru),software2-P,84.85
AntNLP (Shanghai),software1-P,84.69
LeisureX (Shanghai),software1-P,83.91
Uppsala (Uppsala),software1-P,83.58
iParse (Pittsburgh),software1-P,82.29
IBM NY (Yorktown Heights),software1-P,81.43
UniMelb (Melbourne),software1-P,81.3
KParse (İstanbul),software1-P,78.83
BASELINE UDPipe 1.2 (Praha),software1-P,77.6
Fudan (Shanghai),software5-P,77.6
Phoenix (Shanghai),software1-P,76.35
BOUN (İstanbul),software2-P,75.94
CUNI x-ling (Praha),software1-P,74.17
ONLP lab (Ra'anana),software3-P,70.95
HUJI (Yerushalayim),software1-P,69.92
ArmParser (Yerevan),software1-P,58.68
SParse (İstanbul),software1-P,0.0
