HIT-SCIR (Harbin),software1-P,86.84
ICS PAS (Warszawa),software1-P,84.27
Stanford (Stanford),software2,84.03
LATTICE (Paris),software1-P,84.02
UDPipe Future (Praha),software1-P,83.15
Uppsala (Uppsala),software1-P,82.25
CEA LIST (Paris),software1-P,82.17
AntNLP (Shanghai),software1-P,82.04
NLP-Cube (București),software1-P,81.75
TurkuNLP (Turku),software1-P,81.43
SLT-Interactions (Bengaluru),software2-P,80.83
ParisNLP (Paris),software1-P,80.79
iParse (Pittsburgh),software1-P,78.87
UniMelb (Melbourne),software1-P,78.64
LeisureX (Shanghai),software1-P,78.13
KParse (İstanbul),software1-P,76.7
IBM NY (Yorktown Heights),software1-P,76.49
Phoenix (Shanghai),software1-P,74.89
Fudan (Shanghai),software5-P,74.85
CUNI x-ling (Praha),software1-P,74.69
BASELINE UDPipe 1.2 (Praha),software1-P,74.56
BOUN (İstanbul),software2-P,74.48
ONLP lab (Ra'anana),software3-P,70.54
HUJI (Yerushalayim),software1-P,66.2
ArmParser (Yerevan),software1-P,59.59
SParse (İstanbul),software1-P,0.0
