HIT-SCIR (Harbin),software1-P,94.86
CEA LIST (Paris),software1-P,94.62
ICS PAS (Warszawa),software1-P,94.62
TurkuNLP (Turku),software1-P,94.6
UDPipe Future (Praha),software1-P,94.53
Stanford (Stanford),software2,94.5
NLP-Cube (București),software1-P,93.73
SLT-Interactions (Bengaluru),software2-P,93.23
Uppsala (Uppsala),software1-P,93.14
ParisNLP (Paris),software1-P,92.96
LATTICE (Paris),software1-P,92.86
UniMelb (Melbourne),software1-P,92.71
AntNLP (Shanghai),software1-P,91.16
LeisureX (Shanghai),software1-P,90.94
IBM NY (Yorktown Heights),software1-P,90.42
iParse (Pittsburgh),software1-P,89.72
Fudan (Shanghai),software5-P,88.17
Phoenix (Shanghai),software1-P,87.65
BASELINE UDPipe 1.2 (Praha),software1-P,87.53
CUNI x-ling (Praha),software1-P,86.3
KParse (İstanbul),software1-P,86.12
BOUN (İstanbul),software2-P,85.11
HUJI (Yerushalayim),software1-P,76.58
ONLP lab (Ra'anana),software3-P,73.65
ArmParser (Yerevan),software1-P,73.44
SParse (İstanbul),software1-P,0.0
