Stanford (Stanford),software2,87.81
CEA LIST (Paris),software1-P,87.72
HIT-SCIR (Harbin),software1-P,87.61
ICS PAS (Warszawa),software1-P,87.57
TurkuNLP (Turku),software1-P,87.4
UDPipe Future (Praha),software1-P,87.04
LATTICE (Paris),software1-P,86.84
AntNLP (Shanghai),software1-P,86.71
ParisNLP (Paris),software1-P,86.53
LeisureX (Shanghai),software1-P,85.8
SLT-Interactions (Bengaluru),software2-P,85.71
iParse (Pittsburgh),software1-P,85.25
UniMelb (Melbourne),software1-P,84.57
Uppsala (Uppsala),software1-P,84.41
NLP-Cube (București),software1-P,84.36
IBM NY (Yorktown Heights),software1-P,84.12
Fudan (Shanghai),software5-P,83.61
KParse (İstanbul),software1-P,82.71
BOUN (İstanbul),software2-P,82.62
BASELINE UDPipe 1.2 (Praha),software1-P,82.07
Phoenix (Shanghai),software1-P,82.04
CUNI x-ling (Praha),software1-P,80.18
ONLP lab (Ra'anana),software3-P,77.46
HUJI (Yerushalayim),software1-P,74.34
ArmParser (Yerevan),software1-P,68.15
SParse (İstanbul),software1-P,0.0
