HIT-SCIR (Harbin),software1-P,61.39
ICS PAS (Warszawa),software1-P,58.12
LATTICE (Paris),software1-P,57.07
AntNLP (Shanghai),software1-P,56.3
Uppsala (Uppsala),software1-P,56.06
TurkuNLP (Turku),software1-P,53.97
SLT-Interactions (Bengaluru),software2-P,53.37
UDPipe Future (Praha),software1-P,52.84
ParisNLP (Paris),software1-P,50.62
KParse (İstanbul),software1-P,48.77
IBM NY (Yorktown Heights),software1-P,48.36
Stanford (Stanford),software2,47.43
BASELINE UDPipe 1.2 (Praha),software1-P,46.95
CEA LIST (Paris),software1-P,46.95
LeisureX (Shanghai),software1-P,46.95
UniMelb (Melbourne),software1-P,46.82
NLP-Cube (București),software1-P,46.77
Phoenix (Shanghai),software1-P,45.78
CUNI x-ling (Praha),software1-P,45.62
BOUN (İstanbul),software2-P,44.43
ArmParser (Yerevan),software1-P,43.57
iParse (Pittsburgh),software1-P,42.67
Fudan (Shanghai),software5-P,42.03
ONLP lab (Ra'anana),software3-P,40.88
HUJI (Yerushalayim),software1-P,40.09
SParse (İstanbul),software1-P,0.0
