Stanford (Stanford),software2,88.66
TurkuNLP (Turku),software1-P,88.6
HIT-SCIR (Harbin),software1-P,88.33
UDPipe Future (Praha),software1-P,88.15
CEA LIST (Paris),software1-P,87.92
ICS PAS (Warszawa),software1-P,87.27
ParisNLP (Paris),software1-P,87.02
Uppsala (Uppsala),software1-P,86.99
NLP-Cube (București),software1-P,86.96
AntNLP (Shanghai),software1-P,85.77
LATTICE (Paris),software1-P,85.74
LeisureX (Shanghai),software1-P,84.9
UniMelb (Melbourne),software1-P,84.34
iParse (Pittsburgh),software1-P,84.31
SLT-Interactions (Bengaluru),software2-P,84.14
IBM NY (Yorktown Heights),software1-P,83.84
BASELINE UDPipe 1.2 (Praha),software1-P,82.07
Phoenix (Shanghai),software1-P,82.03
Fudan (Shanghai),software5-P,81.24
KParse (İstanbul),software1-P,80.85
CUNI x-ling (Praha),software1-P,79.56
ONLP lab (Ra'anana),software3-P,76.78
BOUN (İstanbul),software2-P,75.79
HUJI (Yerushalayim),software1-P,70.73
ArmParser (Yerevan),software1-P,63.74
SParse (İstanbul),software1-P,0.0
