HIT-SCIR (Harbin),software1-P,88.63
Stanford (Stanford),software2,86.45
UDPipe Future (Praha),software1-P,86.36
ICS PAS (Warszawa),software1-P,85.89
TurkuNLP (Turku),software1-P,85.83
CEA LIST (Paris),software1-P,85.69
LATTICE (Paris),software1-P,85.24
NLP-Cube (București),software1-P,85.0
SLT-Interactions (Bengaluru),software2-P,84.35
ParisNLP (Paris),software1-P,84.27
Uppsala (Uppsala),software1-P,84.26
AntNLP (Shanghai),software1-P,83.41
UniMelb (Melbourne),software1-P,82.14
LeisureX (Shanghai),software1-P,81.57
iParse (Pittsburgh),software1-P,80.82
IBM NY (Yorktown Heights),software1-P,80.63
BASELINE UDPipe 1.2 (Praha),software1-P,77.91
Fudan (Shanghai),software5-P,77.91
KParse (İstanbul),software1-P,77.91
Phoenix (Shanghai),software1-P,77.5
BOUN (İstanbul),software2-P,76.93
CUNI x-ling (Praha),software1-P,75.65
ONLP lab (Ra'anana),software3-P,73.24
HUJI (Yerushalayim),software1-P,70.27
ArmParser (Yerevan),software1-P,62.7
SParse (İstanbul),software1-P,0.0
