CUNI x-ling (Praha),software1-P,13.7
TurkuNLP (Turku),software1-P,6.87
Uppsala (Uppsala),software1-P,4.86
SLT-Interactions (Bengaluru),software2-P,0.77
Phoenix (Shanghai),software1-P,0.75
KParse (İstanbul),software1-P,0.74
BASELINE UDPipe 1.2 (Praha),software1-P,0.7
BOUN (İstanbul),software2-P,0.7
Fudan (Shanghai),software5-P,0.7
Stanford (Stanford),software2,0.7
UniMelb (Melbourne),software1-P,0.7
IBM NY (Yorktown Heights),software1-P,0.67
UDPipe Future (Praha),software1-P,0.65
HIT-SCIR (Harbin),software1-P,0.64
LeisureX (Shanghai),software1-P,0.62
NLP-Cube (București),software1-P,0.53
CEA LIST (Paris),software1-P,0.47
AntNLP (Shanghai),software1-P,0.36
HUJI (Yerushalayim),software1-P,0.36
ParisNLP (Paris),software1-P,0.23
ICS PAS (Warszawa),software1-P,0.12
LATTICE (Paris),software1-P,0.12
ArmParser (Yerevan),software1-P,0.0
ONLP lab (Ra'anana),software3-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
