HIT-SCIR (Harbin),software1-P,83.39
TurkuNLP (Turku),software1-P,82.15
NLP-Cube (București),software1-P,81.97
CEA LIST (Paris),software1-P,81.89
Stanford (Stanford),software2,81.74
ICS PAS (Warszawa),software1-P,81.53
UDPipe Future (Praha),software1-P,81.32
ParisNLP (Paris),software1-P,81.1
SLT-Interactions (Bengaluru),software2-P,80.95
LATTICE (Paris),software1-P,80.74
Uppsala (Uppsala),software1-P,80.4
UniMelb (Melbourne),software1-P,80.39
LeisureX (Shanghai),software1-P,79.99
AntNLP (Shanghai),software1-P,79.85
IBM NY (Yorktown Heights),software1-P,79.8
iParse (Pittsburgh),software1-P,79.33
KParse (İstanbul),software1-P,78.12
Fudan (Shanghai),software5-P,77.91
BASELINE UDPipe 1.2 (Praha),software1-P,77.29
Phoenix (Shanghai),software1-P,77.29
BOUN (İstanbul),software2-P,77.04
CUNI x-ling (Praha),software1-P,76.35
ONLP lab (Ra'anana),software3-P,74.5
HUJI (Yerushalayim),software1-P,72.27
ArmParser (Yerevan),software1-P,65.79
SParse (İstanbul),software1-P,0.0
