HIT-SCIR (Harbin),software1-P,55.22
Stanford (Stanford),software2,47.41
UDPipe Future (Praha),software1-P,46.45
Uppsala (Uppsala),software1-P,46.15
NLP-Cube (București),software1-P,45.64
CEA LIST (Paris),software1-P,44.35
IBM NY (Yorktown Heights),software1-P,43.48
LATTICE (Paris),software1-P,43.31
ParisNLP (Paris),software1-P,43.04
TurkuNLP (Turku),software1-P,42.87
AntNLP (Shanghai),software1-P,42.65
ICS PAS (Warszawa),software1-P,42.53
UniMelb (Melbourne),software1-P,42.19
LeisureX (Shanghai),software1-P,41.77
iParse (Pittsburgh),software1-P,41.17
KParse (İstanbul),software1-P,40.48
BASELINE UDPipe 1.2 (Praha),software1-P,39.63
Fudan (Shanghai),software5-P,39.53
Phoenix (Shanghai),software1-P,39.41
BOUN (İstanbul),software2-P,39.06
SLT-Interactions (Bengaluru),software2-P,38.99
CUNI x-ling (Praha),software1-P,37.68
ONLP lab (Ra'anana),software3-P,37.05
HUJI (Yerushalayim),software1-P,36.48
ArmParser (Yerevan),software1-P,33.84
SParse (İstanbul),software1-P,0.0
