TurkuNLP (Turku),software1-P,91.24
UDPipe Future (Praha),software1-P,89.32
CUNI x-ling (Praha),software1-P,88.96
CEA LIST (Paris),software1-P,88.9
HIT-SCIR (Harbin),software1-P,88.82
Stanford (Stanford),software2,88.32
ICS PAS (Warszawa),software1-P,87.99
AntNLP (Shanghai),software1-P,87.84
BASELINE UDPipe 1.2 (Praha),software1-P,87.84
LATTICE (Paris),software1-P,87.84
ParisNLP (Paris),software1-P,87.84
UniMelb (Melbourne),software1-P,87.84
LeisureX (Shanghai),software1-P,87.77
Phoenix (Shanghai),software1-P,87.69
BOUN (İstanbul),software2-P,87.68
SLT-Interactions (Bengaluru),software2-P,87.51
KParse (İstanbul),software1-P,86.26
Fudan (Shanghai),software5-P,85.91
HUJI (Yerushalayim),software1-P,85.61
NLP-Cube (București),software1-P,81.21
ArmParser (Yerevan),software1-P,72.22
iParse (Pittsburgh),software1-P,71.68
IBM NY (Yorktown Heights),software1-P,59.51
Uppsala (Uppsala),software1-P,58.5
ONLP lab (Ra'anana),software3-P,57.1
SParse (İstanbul),software1-P,2.28
