TurkuNLP (Turku),software1-P,94.78
UDPipe Future (Praha),software1-P,93.62
ICS PAS (Warszawa),software1-P,93.53
Stanford (Stanford),software2,93.41
HIT-SCIR (Harbin),software1-P,92.0
CUNI x-ling (Praha),software1-P,91.89
Phoenix (Shanghai),software1-P,91.89
AntNLP (Shanghai),software1-P,91.86
BASELINE UDPipe 1.2 (Praha),software1-P,91.86
LATTICE (Paris),software1-P,91.86
UniMelb (Melbourne),software1-P,91.86
ParisNLP (Paris),software1-P,91.85
CEA LIST (Paris),software1-P,91.83
LeisureX (Shanghai),software1-P,91.77
BOUN (İstanbul),software2-P,91.64
SLT-Interactions (Bengaluru),software2-P,91.32
KParse (İstanbul),software1-P,90.78
Fudan (Shanghai),software5-P,89.64
HUJI (Yerushalayim),software1-P,88.85
NLP-Cube (București),software1-P,85.58
ArmParser (Yerevan),software1-P,79.63
iParse (Pittsburgh),software1-P,74.73
IBM NY (Yorktown Heights),software1-P,60.14
Uppsala (Uppsala),software1-P,57.4
ONLP lab (Ra'anana),software3-P,57.08
SParse (İstanbul),software1-P,3.06
