TurkuNLP (Turku),software1-P,91.02
ICS PAS (Warszawa),software1-P,90.0
KParse (İstanbul),software1-P,86.96
UDPipe Future (Praha),software1-P,86.46
AntNLP (Shanghai),software1-P,86.34
BASELINE UDPipe 1.2 (Praha),software1-P,86.34
BOUN (İstanbul),software2-P,86.34
CEA LIST (Paris),software1-P,86.34
CUNI x-ling (Praha),software1-P,86.34
HIT-SCIR (Harbin),software1-P,86.34
HUJI (Yerushalayim),software1-P,86.34
LATTICE (Paris),software1-P,86.34
LeisureX (Shanghai),software1-P,86.34
ParisNLP (Paris),software1-P,86.34
Phoenix (Shanghai),software1-P,86.34
SLT-Interactions (Bengaluru),software2-P,86.34
UniMelb (Melbourne),software1-P,86.34
Fudan (Shanghai),software5-P,85.38
Stanford (Stanford),software2,84.93
NLP-Cube (București),software1-P,78.56
iParse (Pittsburgh),software1-P,63.0
ArmParser (Yerevan),software1-P,61.05
Uppsala (Uppsala),software1-P,59.2
IBM NY (Yorktown Heights),software1-P,58.72
ONLP lab (Ra'anana),software3-P,57.57
SParse (İstanbul),software1-P,0.0
