Fudan (Shanghai),software5-P,57.24
AntNLP (Shanghai),software1-P,56.83
BASELINE UDPipe 1.2 (Praha),software1-P,56.83
BOUN (İstanbul),software2-P,56.83
CEA LIST (Paris),software1-P,56.83
HIT-SCIR (Harbin),software1-P,56.83
HUJI (Yerushalayim),software1-P,56.83
LATTICE (Paris),software1-P,56.83
LeisureX (Shanghai),software1-P,56.83
ParisNLP (Paris),software1-P,56.83
Phoenix (Shanghai),software1-P,56.83
SLT-Interactions (Bengaluru),software2-P,56.83
UDPipe Future (Praha),software1-P,56.83
UniMelb (Melbourne),software1-P,56.83
iParse (Pittsburgh),software1-P,56.83
CUNI x-ling (Praha),software1-P,56.49
TurkuNLP (Turku),software1-P,56.03
IBM NY (Yorktown Heights),software1-P,55.44
Uppsala (Uppsala),software1-P,55.39
ONLP lab (Ra'anana),software3-P,52.3
Stanford (Stanford),software2,44.73
KParse (İstanbul),software1-P,33.9
ICS PAS (Warszawa),software1-P,29.44
NLP-Cube (București),software1-P,16.05
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
