UDPipe Future (Praha),software1-P,96.44
ICS PAS (Warszawa),software1-P,96.18
TurkuNLP (Turku),software1-P,96.1
AntNLP (Shanghai),software1-P,95.37
BASELINE UDPipe 1.2 (Praha),software1-P,95.37
BOUN (İstanbul),software2-P,95.37
CEA LIST (Paris),software1-P,95.37
CUNI x-ling (Praha),software1-P,95.37
HIT-SCIR (Harbin),software1-P,95.37
HUJI (Yerushalayim),software1-P,95.37
IBM NY (Yorktown Heights),software1-P,95.37
KParse (İstanbul),software1-P,95.37
LATTICE (Paris),software1-P,95.37
ParisNLP (Paris),software1-P,95.37
Phoenix (Shanghai),software1-P,95.37
SLT-Interactions (Bengaluru),software2-P,95.37
UniMelb (Melbourne),software1-P,95.37
iParse (Pittsburgh),software1-P,95.37
Stanford (Stanford),software2,95.34
LeisureX (Shanghai),software1-P,93.3
NLP-Cube (București),software1-P,92.22
Fudan (Shanghai),software5-P,89.4
ONLP lab (Ra'anana),software3-P,51.01
Uppsala (Uppsala),software1-P,49.98
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
