TurkuNLP (Turku),software1-P,95.33
Stanford (Stanford),software2,94.87
ICS PAS (Warszawa),software1-P,92.57
Fudan (Shanghai),software5-P,90.75
AntNLP (Shanghai),software1-P,90.69
BASELINE UDPipe 1.2 (Praha),software1-P,90.69
BOUN (İstanbul),software2-P,90.69
CEA LIST (Paris),software1-P,90.69
CUNI x-ling (Praha),software1-P,90.69
HUJI (Yerushalayim),software1-P,90.69
KParse (İstanbul),software1-P,90.69
LATTICE (Paris),software1-P,90.69
LeisureX (Shanghai),software1-P,90.69
ParisNLP (Paris),software1-P,90.69
Phoenix (Shanghai),software1-P,90.69
SLT-Interactions (Bengaluru),software2-P,90.69
UniMelb (Melbourne),software1-P,90.69
iParse (Pittsburgh),software1-P,90.69
HIT-SCIR (Harbin),software1-P,90.61
UDPipe Future (Praha),software1-P,88.93
NLP-Cube (București),software1-P,80.96
IBM NY (Yorktown Heights),software1-P,29.4
Uppsala (Uppsala),software1-P,29.39
ONLP lab (Ra'anana),software3-P,29.02
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
