UDPipe Future (Praha),software1-P,97.23
TurkuNLP (Turku),software1-P,96.95
ICS PAS (Warszawa),software1-P,96.39
Stanford (Stanford),software2,96.34
AntNLP (Shanghai),software1-P,95.88
BASELINE UDPipe 1.2 (Praha),software1-P,95.88
BOUN (İstanbul),software2-P,95.88
CEA LIST (Paris),software1-P,95.88
CUNI x-ling (Praha),software1-P,95.88
HIT-SCIR (Harbin),software1-P,95.88
HUJI (Yerushalayim),software1-P,95.88
KParse (İstanbul),software1-P,95.88
LATTICE (Paris),software1-P,95.88
LeisureX (Shanghai),software1-P,95.88
ParisNLP (Paris),software1-P,95.88
Phoenix (Shanghai),software1-P,95.88
SLT-Interactions (Bengaluru),software2-P,95.88
UniMelb (Melbourne),software1-P,95.88
iParse (Pittsburgh),software1-P,95.88
ArmParser (Yerevan),software1-P,95.77
NLP-Cube (București),software1-P,94.51
Fudan (Shanghai),software5-P,88.82
ONLP lab (Ra'anana),software3-P,78.08
Uppsala (Uppsala),software1-P,76.34
IBM NY (Yorktown Heights),software1-P,75.91
SParse (İstanbul),software1-P,0.0
