TurkuNLP (Turku),software1-P,96.56
UDPipe Future (Praha),software1-P,96.44
ICS PAS (Warszawa),software1-P,96.36
Stanford (Stanford),software2,96.36
AntNLP (Shanghai),software1-P,95.84
BASELINE UDPipe 1.2 (Praha),software1-P,95.84
BOUN (İstanbul),software2-P,95.84
CEA LIST (Paris),software1-P,95.84
CUNI x-ling (Praha),software1-P,95.84
HIT-SCIR (Harbin),software1-P,95.84
HUJI (Yerushalayim),software1-P,95.84
LATTICE (Paris),software1-P,95.84
LeisureX (Shanghai),software1-P,95.84
ParisNLP (Paris),software1-P,95.84
Phoenix (Shanghai),software1-P,95.84
SLT-Interactions (Bengaluru),software2-P,95.84
UniMelb (Melbourne),software1-P,95.84
iParse (Pittsburgh),software1-P,95.84
NLP-Cube (București),software1-P,93.89
KParse (İstanbul),software1-P,93.3
Fudan (Shanghai),software5-P,92.87
ArmParser (Yerevan),software1-P,85.37
Uppsala (Uppsala),software1-P,75.58
IBM NY (Yorktown Heights),software1-P,75.49
ONLP lab (Ra'anana),software3-P,74.12
SParse (İstanbul),software1-P,0.0
