Stanford (Stanford),software2,97.03
TurkuNLP (Turku),software1-P,96.92
UDPipe Future (Praha),software1-P,96.75
ICS PAS (Warszawa),software1-P,96.69
AntNLP (Shanghai),software1-P,96.48
BASELINE UDPipe 1.2 (Praha),software1-P,96.48
CEA LIST (Paris),software1-P,96.48
CUNI x-ling (Praha),software1-P,96.48
HIT-SCIR (Harbin),software1-P,96.48
HUJI (Yerushalayim),software1-P,96.48
KParse (İstanbul),software1-P,96.48
LATTICE (Paris),software1-P,96.48
LeisureX (Shanghai),software1-P,96.48
ParisNLP (Paris),software1-P,96.48
Phoenix (Shanghai),software1-P,96.48
SLT-Interactions (Bengaluru),software2-P,96.48
UniMelb (Melbourne),software1-P,96.48
iParse (Pittsburgh),software1-P,96.48
BOUN (İstanbul),software2-P,96.46
ArmParser (Yerevan),software1-P,96.12
NLP-Cube (București),software1-P,94.53
Fudan (Shanghai),software5-P,91.78
ONLP lab (Ra'anana),software3-P,65.68
IBM NY (Yorktown Heights),software1-P,63.6
Uppsala (Uppsala),software1-P,63.5
SParse (İstanbul),software1-P,0.0
